Name,Type,Description,Price,Category
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",149.46,Sports
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",144.37,Clothing
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",860.93,Sports
Classic Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",841.02,Clothing
Modern Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",229.31,Clothing
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1001.78,Electronics
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",488.7,Clothing
Eco Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",879.27,Food
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",566.89,Sports
Premium Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1108.36,Beauty
Eco Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1336.18,Toys
Eco Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",21.78,Home
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",200.74,Books
Eco Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",320.77,Toys
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1460.17,Clothing
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1081.99,Clothing
Classic Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",523.96,Clothing
Luxury Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",300.8,Toys
Classic Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",967.32,Books
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",111.75,Toys
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1446.69,Books
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1363.16,Beauty
Classic Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",882.73,Books
Luxury T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",27.03,Clothing
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",182.76,Home
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",601.01,Home
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1233.88,Sports
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",666.36,Beauty
Classic Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1360.1,Toys
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1335.62,Sports
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",36.74,Clothing
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",926.9,Home
Classic Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",62.91,Books
Classic Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",401.33,Electronics
Luxury Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",67.85,Toys
Modern Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1171.47,Beauty
Premium Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1424.67,Food
Modern Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",502.16,Electronics
Eco Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",493.2,Food
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",952.42,Sports
Premium Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",1283.76,Electronics
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",194.44,Home
Classic Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",243.09,Books
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",137.64,Clothing
Eco Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",731.23,Books
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",1024.26,Books
Premium Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",194.03,Food
Classic Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1260.28,Electronics
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",434.5,Food
Luxury Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",1021.71,Electronics
Luxury Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1182.11,Home
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",451.94,Beauty
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",28.82,Electronics
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",283.27,Clothing
Eco Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",1102.12,Electronics
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1067.34,Sports
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",1250.44,Food
Eco Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",1130.99,Sports
Premium Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1347.25,Clothing
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1242.22,Electronics
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",1425.41,Sports
Premium Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",1188.37,Electronics
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",678.31,Beauty
Eco Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",435.47,Toys
Premium Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",414.05,Food
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",633.19,Sports
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",1478.89,Sports
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",205.52,Sports
Premium Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",944.64,Beauty
Luxury Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",1244.51,Food
Classic Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",1398.66,Food
Classic Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1039.81,Sports
Premium Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",506.47,Books
Premium Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",671.68,Food
Eco Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1111.15,Sports
Modern Football,Football,"A Football in the Sports category, designed for quality and everyday use.",1284.14,Sports
Premium Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",953.54,Toys
Classic Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",465.72,Food
Premium Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1042.04,Books
Modern Table,Table,"A Table in the Home category, designed for quality and everyday use.",1396.4,Home
Modern Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1344.38,Electronics
Modern Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",411.22,Books
Premium Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",772.97,Sports
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1347.72,Toys
Luxury Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",808.63,Food
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",877.65,Food
Luxury Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",1327.6,Books
Premium Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",708.97,Beauty
Premium Tablet,Tablet,"A Tablet in the Electronics category, designed for quality and everyday use.",922.67,Electronics
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",312.51,Books
Premium Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",868.18,Books
Premium Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",1492.15,Clothing
Modern Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1417.1,Toys
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",734.7,Sports
Eco Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",465.93,Beauty
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1110.74,Books
Classic Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",307.75,Clothing
Classic Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",1021.38,Home
Luxury Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",781.82,Clothing
Eco Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",563.74,Clothing
Classic Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",174.13,Electronics
Eco Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",662.55,Food
Classic Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",131.76,Electronics
Luxury Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",1096.58,Toys
Luxury Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",516.41,Electronics
Modern Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",769.55,Toys
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",10.97,Sports
Luxury Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1126.5,Toys
Modern Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1285.07,Food
Luxury Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",210.58,Home
Premium Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",388.29,Electronics
Luxury Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",159.78,Clothing
Eco Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1204.96,Beauty
Luxury Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1381.32,Toys
Eco Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",1259.72,Food
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",205.45,Home
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",974.05,Sports
Luxury Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",470.61,Toys
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1484.15,Sports
Modern Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",699.52,Clothing
Eco Football,Football,"A Football in the Sports category, designed for quality and everyday use.",930.01,Sports
Eco Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",461.65,Food
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",777.06,Clothing
Premium Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",461.99,Books
Modern Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",1106.52,Food
Luxury Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",579.32,Food
Luxury Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",328.44,Toys
Classic Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",457.29,Sports
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1211.48,Electronics
Premium Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",685.06,Electronics
Premium Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",234.24,Home
Classic Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1358.73,Food
Eco T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",232.7,Clothing
Luxury Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",758.85,Books
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",809.59,Sports
Premium Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",152.34,Electronics
Eco Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",964.17,Beauty
Classic Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",202.51,Beauty
Classic Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",1251.03,Food
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1099.25,Home
Premium Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1070.88,Books
Modern Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",373.19,Beauty
Premium Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1438.21,Home
Premium Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",1196.76,Toys
Modern Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",756.4,Clothing
Luxury Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1368.38,Toys
Modern Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",1420.26,Electronics
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",753.53,Electronics
Luxury Table,Table,"A Table in the Home category, designed for quality and everyday use.",446.35,Home
Modern Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",651.93,Beauty
Classic Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",1444.41,Electronics
Modern Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",451.46,Food
Modern Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",302.49,Beauty
Classic Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",667.37,Books
Eco Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1008.47,Books
Luxury Football,Football,"A Football in the Sports category, designed for quality and everyday use.",73.85,Sports
Eco Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",561.3,Beauty
Classic Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",1090.04,Beauty
Eco Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",866.02,Toys
Modern Football,Football,"A Football in the Sports category, designed for quality and everyday use.",763.18,Sports
Luxury Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",801.98,Toys
Classic Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",826.09,Electronics
Modern Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",1102.29,Home
Classic Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",703.95,Clothing
Modern T-shirt,T-shirt,"A T-shirt in the Clothing category, designed for quality and everyday use.",453.83,Clothing
Luxury Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",1418.95,Beauty
Eco Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",1145.54,Beauty
Modern Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",1424.44,Books
Luxury Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",305.69,Books
Premium Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",777.5,Electronics
Modern Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",620.83,Beauty
Premium Novel,Novel,"A Novel in the Books category, designed for quality and everyday use.",164.67,Books
Eco Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",229.74,Beauty
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",168.53,Toys
Eco Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",18.62,Food
Premium Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",745.23,Home
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",417.06,Food
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",408.34,Toys
Eco Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",553.94,Food
Luxury Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",1218.18,Sports
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",65.21,Sports
Classic Table,Table,"A Table in the Home category, designed for quality and everyday use.",299.96,Home
Modern Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",166.87,Food
Modern Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",764.24,Books
Luxury Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",257.19,Beauty
Modern Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",942.71,Books
Luxury Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",1462.34,Books
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",182.93,Clothing
Premium Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",854.81,Sports
Premium Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1437.4,Beauty
Classic Bookshelf,Bookshelf,"A Bookshelf in the Home category, designed for quality and everyday use.",618.83,Home
Classic Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",695.34,Toys
Premium Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",453.87,Electronics
Premium Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",744.59,Clothing
Modern Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1335.04,Clothing
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",1027.95,Beauty
Luxury Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",33.29,Sports
Luxury Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",576.81,Food
Classic Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",1194.22,Sports
Luxury Laptop,Laptop,"A Laptop in the Electronics category, designed for quality and everyday use.",230.56,Electronics
Eco Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",414.35,Clothing
Modern Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1092.75,Sports
Classic Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1352.41,Food
Luxury Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",776.31,Beauty
Premium Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",509.94,Beauty
Modern Cereal,Cereal,"A Cereal in the Food category, designed for quality and everyday use.",1446.34,Food
Classic Jacket,Jacket,"A Jacket in the Clothing category, designed for quality and everyday use.",1421.37,Clothing
Classic Smartphone,Smartphone,"A Smartphone in the Electronics category, designed for quality and everyday use.",694.27,Electronics
Classic Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",671.74,Beauty
Eco Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",68.89,Beauty
Modern Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",196.41,Sports
Premium Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",406.23,Clothing
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",414.23,Sports
Classic Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",1052.34,Clothing
Luxury Moisturizer,Moisturizer,"A Moisturizer in the Beauty category, designed for quality and everyday use.",1101.18,Beauty
Classic Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",590.05,Toys
Premium Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1309.0,Food
Premium Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",1245.27,Sports
Eco Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",1143.15,Food
Eco Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",847.0,Sports
Premium Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",269.73,Beauty
Eco Sofa,Sofa,"A Sofa in the Home category, designed for quality and everyday use.",471.28,Home
Luxury Coffee,Coffee,"A Coffee in the Food category, designed for quality and everyday use.",576.01,Food
Eco Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",45.55,Sports
Eco Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",538.59,Sports
Modern Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1015.24,Beauty
Modern Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",706.32,Sports
Eco Dumbbells,Dumbbells,"A Dumbbells in the Sports category, designed for quality and everyday use.",525.25,Sports
Luxury Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1482.81,Toys
Premium Textbook,Textbook,"A Textbook in the Books category, designed for quality and everyday use.",1349.44,Books
Eco Comic Book,Comic Book,"A Comic Book in the Books category, designed for quality and everyday use.",783.08,Books
Premium Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",1044.6,Electronics
Modern Essay,Essay,"A Essay in the Books category, designed for quality and everyday use.",1028.71,Books
Classic Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",1428.29,Clothing
Premium Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",406.81,Home
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",1254.2,Toys
Modern Sneakers,Sneakers,"A Sneakers in the Clothing category, designed for quality and everyday use.",1225.5,Clothing
Luxury Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",611.43,Food
Premium Dictionary,Dictionary,"A Dictionary in the Books category, designed for quality and everyday use.",311.37,Books
Classic Dress,Dress,"A Dress in the Clothing category, designed for quality and everyday use.",941.07,Clothing
Premium Lipstick,Lipstick,"A Lipstick in the Beauty category, designed for quality and everyday use.",968.42,Beauty
Modern Chocolate,Chocolate,"A Chocolate in the Food category, designed for quality and everyday use.",470.26,Food
Modern Juice,Juice,"A Juice in the Food category, designed for quality and everyday use.",124.18,Food
Luxury Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",162.7,Sports
Modern Drone,Drone,"A Drone in the Toys category, designed for quality and everyday use.",1017.92,Toys
Modern Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",96.16,Sports
Premium Bicycle,Bicycle,"A Bicycle in the Sports category, designed for quality and everyday use.",1172.21,Sports
Modern Lamp,Lamp,"A Lamp in the Home category, designed for quality and everyday use.",385.55,Home
Eco Puzzle,Puzzle,"A Puzzle in the Toys category, designed for quality and everyday use.",1162.59,Toys
Luxury Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",337.89,Electronics
Premium Tea,Tea,"A Tea in the Food category, designed for quality and everyday use.",601.16,Food
Eco Stuffed Animal,Stuffed Animal,"A Stuffed Animal in the Toys category, designed for quality and everyday use.",798.54,Toys
Modern Yoga Mat,Yoga Mat,"A Yoga Mat in the Sports category, designed for quality and everyday use.",242.62,Sports
Premium Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",1106.63,Beauty
Luxury Board Game,Board Game,"A Board Game in the Toys category, designed for quality and everyday use.",1367.49,Toys
Luxury Television,Television,"A Television in the Electronics category, designed for quality and everyday use.",268.17,Electronics
Eco Headphones,Headphones,"A Headphones in the Electronics category, designed for quality and everyday use.",434.55,Electronics
Premium Tennis Racket,Tennis Racket,"A Tennis Racket in the Sports category, designed for quality and everyday use.",632.77,Sports
Premium Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",1286.2,Home
Premium Toy Car,Toy Car,"A Toy Car in the Toys category, designed for quality and everyday use.",1155.81,Toys
Modern Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",1041.63,Beauty
Classic Shampoo,Shampoo,"A Shampoo in the Beauty category, designed for quality and everyday use.",99.54,Beauty
Modern Jeans,Jeans,"A Jeans in the Clothing category, designed for quality and everyday use.",383.41,Clothing
Luxury Chair,Chair,"A Chair in the Home category, designed for quality and everyday use.",982.8,Home
Classic Nail Polish,Nail Polish,"A Nail Polish in the Beauty category, designed for quality and everyday use.",235.56,Beauty
Eco Perfume,Perfume,"A Perfume in the Beauty category, designed for quality and everyday use.",572.77,Beauty
